Type;BBox_left;BBox_top;BBox_right;BBox_bottom;Distance;Label Name;Mean Depth;Depth Variance;BBox Area;BBox Height;BBox Width
Car;387.63;181.54;423.81;203.12;58.49;000001.txt;181.261047979798;6723.6859574876;792;22;36
Car;767.9;181.48;975.64;349.99;8.98;007282.txt;115.677061870421;9449.22772075155;34944;168;208
Car;396.65;185.33;505.3;283.9;14.13;002591.txt;132.120600074892;8509.23037698498;10682;98;109
Car;459.58;184.8;532.48;244.06;21.6;002591.txt;140.500228310502;7745.7226026876;4380;60;73
Car;11.5;172.55;405.84;374;6.59;000627.txt;110.084855757149;9933.1018297563;79588;202;394
Car;356.48;185.52;390.23;210.49;50.31;000627.txt;156.797352941177;8008.91569887543;850;25;34
Car;409.2;183.32;484.47;243.32;20.28;000627.txt;139.559444444444;8212.94779969136;4500;60;75
Car;375.39;183.56;500.35;293.98;12.74;002515.txt;128.417345454546;8717.16680458976;13750;110;125
Car;453.71;184.16;532.47;247.8;20.21;002515.txt;136.47096644565;8121.40889183271;4977;63;79
Car;310.24;179.53;487.55;326.43;9.95;005223.txt;123.445155463315;8940.40493434975;26019;147;177
Car;438.81;182.62;532.43;257.3;17.44;005223.txt;132.537163120567;8458.49876074645;7050;75;94
Car;0;210.35;370.69;374;6.41;000136.txt;108.8916405735;9839.5565220778;60680;164;370
Car;646.14;165.53;700.16;204.94;34.87;000136.txt;160.404558404558;5471.16539232636;2106;39;54
Car;364.88;195.67;436.25;239.33;30.76;000136.txt;145.962910353535;7041.95695769146;3168;44;72
Car;939.33;163.09;1129.18;222.88;19.02;000136.txt;116.179125780553;9553.66251698775;11210;59;190
Car;863.55;164.04;1030.47;214.25;22.3;000136.txt;131.249790419162;8652.27146702195;8350;50;167
Car;689.44;163.46;724.52;190.31;45.27;000136.txt;173.123544973545;5709.32309642787;945;27;35
Car;511.6;157.39;746.62;251.5;12.3;006750.txt;155.490753734722;6430.49871486873;22090;94;235
Car;196.77;146.21;472.07;251.61;11.47;006750.txt;148.306262939959;6988.1636219212;28980;105;276
Car;0;149.16;86.36;257.35;10.14;006750.txt;142.962666881998;7564.17127527362;9288;108;86
Car;348.02;181.41;494.37;306.97;11.36;004356.txt;126.708273972603;8780.65399181535;18250;125;146
Car;446.87;183.44;532.45;252.16;18.82;004356.txt;135.260743174924;8214.35647373148;5934;69;86
Car;411.68;193.66;453.77;233.86;32.82;000905.txt;161.982886904762;5762.57247499911;1680;40;42
Car;169.31;195.92;436.36;357.32;8.89;006509.txt;114.032713737458;9444.65437208262;43254;162;267
Car;478.77;170.49;541.21;224.46;24.89;006509.txt;145.566945914168;7237.64528308879;3402;54;63
Car;527.75;172.12;564.16;204.43;35.59;006509.txt;157.384712837838;5782.477840627;1184;32;37
Car;559.45;168.56;597.02;191.93;50.36;006509.txt;176.614988558352;6098.04055337516;874;23;38
Car;953.93;165.44;1241;374;5.7;002445.txt;107.314535154173;10003.7633333864;60192;209;288
Car;917.88;181.82;1229.36;281.3;11.11;002445.txt;109.779126602564;9871.90942808333;31200;100;312
Car;882.41;180.78;1170.94;261.5;13.34;002445.txt;114.453821587792;9622.66789927578;23328;81;288
Car;400.58;191.83;441.15;230.23;34.09;001001.txt;163.761413383365;5635.12600325563;1599;39;41
Car;390.06;192.98;429.51;230.07;35.35;005851.txt;165.700067476383;5562.51226720192;1482;38;39
Car;0;220.83;288.01;374;1.97;005851.txt;108.87729978355;9977.05084923841;44352;154;288
Car;530.42;186.1;927.71;329.15;8.92;004231.txt;115.85312923852;9402.01595694264;56771;143;397
Car;1091.87;191.05;1241;363.5;6.77;004231.txt;107.762364341085;10011.9520176657;25800;172;150
Car;534.9;186.36;567.67;220.11;38.99;002374.txt;166.339349376114;5659.30975287437;1122;34;33
Car;504.53;187.58;530.61;205.8;62.49;002374.txt;183.80235042735;7284.34448165498;468;18;26
Car;533.4;172.66;566.78;205.81;45.62;002766.txt;171.722681359045;5474.2803028195;1089;33;33
Car;558.53;175.33;577.46;193.62;69.73;002766.txt;180.858918128655;6820.23228888803;342;18;19
Car;453.96;187.34;512.62;243.1;23.74;003578.txt;144.167826876513;7479.24786319521;3304;56;59
Car;474.39;187.54;520.84;227.84;31.11;003578.txt;147.479755434783;7195.65828580975;1840;40;46
Car;547.13;186.07;758.41;374;7.44;001966.txt;115.467820409398;9499.58994460907;39668;188;211
Car;366.5;179.65;496.91;259.94;15.39;001966.txt;123.079951923077;8996.22230961308;10400;80;130
Car;702.28;175.33;773.89;221.51;24.61;001966.txt;134.61895284752;8271.27504189184;3266;46;71
Car;406.78;176.5;482.13;246.64;19.51;001324.txt;134.444360902256;8574.2851561705;5320;70;76
Car;436.52;177.89;481.38;211.8;33.88;001324.txt;136.007352941177;8315.3285407055;1530;34;45
Car;541.15;186.73;570.18;216.14;44.5;003913.txt;171.478735632184;5589.60242138988;870;30;29
Car;275.05;179.5;461.66;317.96;10.87;003271.txt;116.134652095995;9312.50398779388;25668;138;186
Car;465.84;182.44;532.29;238.12;21.5;003271.txt;137.519123134328;8188.63822705627;3752;56;67
Car;529.99;176.6;582.88;209.72;35.92;003271.txt;158.631503716409;5912.01887029458;1749;33;53
Car;0;199.17;340.42;374;5.54;006183.txt;108.312768907563;9907.81644871971;59500;175;340
Car;350.23;178.55;513.96;290.87;11.87;006183.txt;124.214532208589;9040.53887952482;18256;112;163
Car;0;205.07;376.98;374;6.77;005091.txt;108.296062570817;9892.93422156074;63544;169;376
Car;377;184.87;521.37;285.85;13.18;005091.txt;125.682274477448;8978.07001446372;14544;101;144
Car;0;228.65;196.4;374;2.82;005293.txt;109.206353089181;9870.9881180112;28616;146;196
Car;198.22;192.8;431.05;343.15;9.41;005293.txt;118.70089247648;9168.86923633506;35183;151;233
Car;418.82;180.28;534.24;260.04;16.01;005293.txt;133.988146551724;8599.75427759921;9280;80;116
Car;691.43;182.13;834.56;311.59;11.02;004559.txt;121.613961619776;9119.51784432075;18447;129;143
Car;542.09;187.74;572.59;219.04;42.06;006784.txt;169.54140625;5526.00766052246;960;32;30
Car;551.11;185.85;736.26;361.07;8.22;001206.txt;118.322028562654;9312.23640049181;32560;176;185
Car;0;186.52;223.59;374;2.5;001206.txt;123.302577282702;9410.79286283572;41924;188;223
Car;394.24;179.82;507.47;251.17;17.06;001206.txt;125.645065142576;8867.90084646823;8136;72;113
Car;697.37;176.79;763.13;219.89;26.23;001206.txt;142.827783650458;7435.43166992923;2838;43;66
Car;140.34;193.92;406.72;337.66;9.62;000575.txt;118.052742533417;9242.38953364914;38304;144;266
Car;445.35;182.01;507.86;228.64;23.62;000575.txt;143.686272791024;7529.67533049782;2852;46;62
Car;543.58;177.62;586.56;214.01;30.01;000575.txt;156.166876178504;6333.12142952521;1591;37;43
Car;525.62;177.02;552.24;199.63;46.68;000575.txt;162.126683501684;5801.49363142508;594;22;27
Car;540.86;187.59;572.24;219.89;40.81;001090.txt;168.43115234375;5651.02358031273;1024;32;32
Car;469.26;175.15;541.73;239.43;24.62;000921.txt;141.645073784722;7781.64659682615;4608;64;72
Car;540.42;180.79;568.75;207.31;48.76;000921.txt;171.043981481482;5671.12339631712;756;27;28
Car;464.56;184.51;696.05;283.93;12.25;007378.txt;117.307678073842;9251.73584839654;22968;99;232
Car;364.46;169.87;610.41;274.65;14.32;007378.txt;121.109746418893;9063.13693946338;25830;105;246
Car;208.58;187.75;266.8;222.26;31.65;007378.txt;153.315517241379;6052.95857694921;2030;35;58
Car;956.63;187.75;1241;321.31;9.95;005593.txt;115.566450641529;9427.57009334602;38190;134;285
Car;557.18;172.16;590.5;197.74;43.71;006671.txt;171.825454545455;5680.97862479339;825;25;33
Car;615.02;169.86;639.32;191.65;53.02;006671.txt;178.348484848485;6158.16738406795;528;22;24
Car;270.28;183.78;425.4;264.6;14.78;004933.txt;129.544663480685;8682.97667900862;12555;81;155
Car;617.33;184.95;898;304.31;10.26;007108.txt;113.818801897983;9454.20580900346;33720;120;281
Car;522.94;167.04;791.62;281.89;12.97;007108.txt;117.4609583904;9258.51650875344;30666;114;269
Car;372.68;185.69;424.25;219.22;32.56;007108.txt;154.256504524887;6212.5003818993;1768;34;52
Car;506.34;187.05;708.82;263.38;15.21;007108.txt;117.865001302762;9221.20239807191;15352;76;202
Car;161.05;190.96;434.77;360.9;7.91;005877.txt;112.997899159664;9778.22051918052;46410;170;273
Car;504.96;173.03;584.53;245.58;17.47;005877.txt;128.52578125;8771.0877033827;5760;72;80
Car;501.42;171.3;564.78;223.8;23.41;005877.txt;131.705433455434;8789.64125252884;3276;52;63
Car;600.75;171.18;639.52;210.08;28.67;005877.txt;151.793721236029;6846.28371468626;1521;39;39
Car;295.36;183.1;393.89;242.07;19.29;005877.txt;123.814683500519;9380.26564049997;5782;59;98
Car;451.86;173.71;500.67;205.28;36.4;005877.txt;170.101881377551;6136.1205194196;1568;32;49
Car;588.6;158.61;643.28;217.79;25.23;003793.txt;148.526579352851;7009.39474808346;3245;59;55
Car;157.18;189.97;432.47;360.57;7.87;002274.txt;113.031307814992;9830.25948234066;47025;171;275
Car;506.83;172.66;585.5;244.4;17.65;002274.txt;129.651063642757;8730.14472548611;5688;72;79
Car;502.71;171.04;565.31;222.93;23.67;002274.txt;132.367569249922;8674.13084367128;3213;51;63
Car;600.4;170.88;638.84;209.44;28.91;002274.txt;152.642375168691;6906.8508494193;1482;39;38
Car;372.83;179.95;443.15;224.43;24.83;002274.txt;147.13544600939;8149.02116924552;3195;45;71
Car;470.47;175.29;527.4;209.79;31.75;005875.txt;157.481553147575;6629.27236353201;1938;34;57
Car;613.38;163.86;650.75;201.68;38.24;001487.txt;162.166785206259;5418.20617985002;1406;38;37
Car;254.08;184.29;360.28;232.81;24.82;002162.txt;144.175167059748;7578.171507932;5088;48;106
Car;512.54;174.61;553.89;200.31;42.03;004805.txt;171.66181988743;5959.97100006512;1066;26;41
Car;550.73;172.77;587.89;200.88;39.94;003079.txt;166.789092664093;5631.52453353968;1036;28;37
Car;613.3;170.04;639.38;193.12;50.15;003079.txt;175.836956521739;5851.71505562018;598;23;26
Car;119.23;190.35;289.37;260.99;18.12;003348.txt;133.402268907563;8318.5100284655;11900;70;170
Car;535.45;172.24;579.73;206.19;33.42;003853.txt;157.521223262032;6102.78598005443;1496;34;44
Car;612.03;167.84;641.05;193.7;44.99;003853.txt;170.553713527852;5631.17151803995;754;26;29
Car;491.89;172.1;532.73;201.03;38.07;003853.txt;163.977922624054;5610.18937802261;1189;29;41
Car;585.7;166.75;607.87;187.89;55.5;003853.txt;178.994047619048;6308.51782171202;462;21;22
Car;312.94;184.4;533.14;276.59;13.25;006487.txt;119.316385500689;9143.07151392733;20332;92;221
Car;212.5;169.5;458.14;269.75;15.08;006487.txt;122.293221544716;9005.33610445905;24600;100;246
Car;0;188.39;72.59;225.66;29.13;006487.txt;155.193318318318;5914.39956496474;2664;37;72
Car;0;198.18;387.19;373;4.05;002437.txt;115.319881875231;9750.47695945449;67725;175;387
Car;400.23;184.37;508.16;262.46;14.98;002437.txt;135.768310778728;8566.80568026619;8424;78;108
Car;581.18;176.79;627.03;218.61;28.66;002437.txt;155.079968944099;6345.2094434773;1932;42;46
Car;540.65;174.31;578.57;206.54;37.01;002437.txt;166.192023026316;5680.34265018368;1216;32;38
Car;496.55;177.19;529.32;201.98;45.05;002437.txt;179.522411616162;6357.04116438613;792;24;33
Car;173.41;191.3;444.92;358.32;8.01;005401.txt;112.873135647524;9819.88506989682;45257;167;271
Car;489.8;173.94;577.73;254.1;16.03;005401.txt;128.236777497194;9016.94839068169;7128;81;88
Car;493.55;174.5;561.99;231.2;21.81;005401.txt;126.792956656347;9016.91507939028;3876;57;68
Car;599.65;174.19;641.9;216.56;26.41;005401.txt;146.326247165533;7477.74135190263;1764;42;42
Car;405.09;179.81;474.34;220.03;28.42;005401.txt;155.335807705903;7215.09861529848;2829;41;69
Car;570.2;175.94;611.21;209.84;34.15;005401.txt;152.602223816356;6721.69937812494;1394;34;41
Car;286.89;185.04;461.33;298.57;10.84;005755.txt;123.792477876106;9130.03634038352;19775;113;175
Car;536.95;172.09;595.67;225.66;22.87;005755.txt;140.313639270867;8169.82799753281;3127;53;59
Car;519.09;169.94;564.87;208.45;31.27;005755.txt;150.774358974359;7507.25136532983;1755;39;45
Car;436.54;176.14;481.78;205.76;35.76;005755.txt;164.892528735632;6141.65952272427;1305;29;45
Car;589.71;170.52;620.7;201.6;35.6;005755.txt;162.151925078044;6288.23186153861;961;31;31
Car;347.76;179.71;414.75;228.36;23.71;003077.txt;148.356152908925;7465.21666713714;3283;49;67
Car;417.18;179.32;450.12;198.69;58.09;003077.txt;188.820972886762;7965.55686476322;627;19;33
Car;0;195.4;416.43;373;4.91;003732.txt;112.312391961971;9841.5030689436;74048;178;416
Car;414.51;184.13;523.92;263.62;14.72;003732.txt;133.362878875857;8771.2332300816;8611;79;109
Car;584.51;175.7;641.78;227.93;23.38;003732.txt;144.907051282051;7768.97044285702;2964;52;57
Car;532.94;173.85;581.36;215.61;28.97;003732.txt;154.580417881438;6603.39902373208;2058;42;49
Car;0;197.27;244.21;360.12;8.35;003732.txt;109.464635924771;9957.26819773781;39772;163;244
Car;466.07;171.36;515.18;206;37.06;003732.txt;158.336005830904;7611.59657530026;1715;35;49
Car;731.23;160.97;763.95;194.27;43.09;007290.txt;170.339613970588;5437.51701529216;1088;34;32
