Label Name;BBox_left;BBox_top;BBox_right;BBox_bottom;Distance
003206.txt;0.0;222.42;211.82;374.0;1.74
003206.txt;817.89;165.03;1241.0;374.0;5.95
003206.txt;0.0;217.05;154.29;374.0;5.88
003206.txt;671.62;165.92;902.23;259.92;14.04
003206.txt;85.66;195.98;324.25;326.81;10.47
003206.txt;644.78;177.74;689.46;216.21;31.35
003206.txt;630.12;174.14;670.42;210.93;36.32
003206.txt;545.82;174.74;563.79;193.65;73.5
007404.txt;592.99;179.04;659.03;241.54;20.04
007404.txt;767.83;175.99;926.0;267.42;13.86
007404.txt;699.31;177.12;822.15;231.73;20.42
007404.txt;330.43;182.3;440.26;244.58;20.92
007404.txt;0.0;195.23;173.01;292.13;13.59
007404.txt;154.62;179.15;289.1;253.19;19.81
007404.txt;490.27;179.83;544.13;208.72;38.8
007404.txt;587.06;171.73;614.49;192.67;62.91
007404.txt;331.61;180.57;414.92;221.29;30.09
007404.txt;448.74;182.05;506.57;207.75;42.95
007404.txt;652.05;174.02;677.27;191.82;61.61
007404.txt;210.82;183.05;311.65;222.83;29.18
005120.txt;1032.59;188.58;1241.0;374.0;2.61
005120.txt;825.05;137.77;1196.37;369.09;8.13
005120.txt;786.92;164.3;867.4;234.15;18.79
000354.txt;888.74;210.34;1241.0;374.0;3.85
000354.txt;402.92;179.66;568.4;291.67;11.36
000354.txt;588.91;171.04;641.74;213.53;31.12
000354.txt;745.68;179.53;820.53;247.21;18.27
000354.txt;743.92;183.72;801.08;230.9;22.99
006415.txt;327.65;189.96;387.3;223.28;38.98
003856.txt;0.0;201.68;304.18;369.0;3.36
003856.txt;655.63;166.01;769.39;208.88;25.23
005094.txt;682.47;179.09;744.19;233.34;23.3
005094.txt;0.0;201.16;169.32;374.63;7.99
005094.txt;79.92;199.71;223.17;269.9;18.94
005094.txt;219.74;195.81;342.86;265.13;17.34
005094.txt;772.41;181.53;806.63;202.22;50.8
005094.txt;838.15;181.01;866.43;196.03;70.67
004992.txt;593.26;174.85;645.25;224.03;24.97
004992.txt;38.7;199.2;288.26;312.7;11.47
004992.txt;863.88;166.83;1164.69;343.38;8.01
004992.txt;726.88;174.04;900.66;253.38;14.75
004992.txt;717.51;173.34;854.68;236.75;18.48
004992.txt;710.65;168.29;823.29;224.71;22.45
004992.txt;656.34;173.58;733.85;204.84;36.46
004992.txt;645.21;173.81;697.49;195.17;54.33
004992.txt;353.09;176.71;417.82;213.66;35.15
004992.txt;397.82;179.09;446.36;208.97;41.73
004992.txt;432.41;182.32;470.05;203.5;48.62
004992.txt;480.15;178.17;511.21;195.15;64.75
004992.txt;339.01;179.34;378.31;205.04;42.98
004992.txt;57.08;180.77;100.29;210.64;38.08
002109.txt;15.33;205.34;465.66;374.0;5.81
002109.txt;271.55;194.07;433.92;324.94;11.37
002109.txt;491.98;187.59;515.92;210.13;57.52
