Type;BBox_left;BBox_top;BBox_right;BBox_bottom;Distance;Label Name;Average Depth;Depth Variance;Depth Median;Depth Mode;Depth Range;Depth Percentile
Car;387.63;181.54;423.81;203.12;58.49;000001.txt;181.26104797979798;6723.685957487597;225.0;255.0;219.0;141.0
Car;767.9;181.48;975.64;349.99;8.98;007282.txt;115.67706187042124;9449.22772075155;143.0;255.0;255.0;219.75
Car;396.65;185.33;505.3;283.9;14.13;002591.txt;132.12060007489234;8509.230376984979;157.0;255.0;255.0;128.75
Car;459.58;184.8;532.48;244.06;21.6;002591.txt;140.50022831050228;7745.722602687599;157.0;255.0;255.0;143.5
Car;11.5;172.55;405.84;374.0;6.59;000627.txt;110.08485575714931;9933.101829756297;134.0;255.0;255.0;241.5
Car;356.48;185.52;390.23;210.49;50.31;000627.txt;156.79735294117648;8008.915698875433;157.5;255.0;255.0;183.75
Car;409.2;183.32;484.47;243.32;20.28;000627.txt;139.55944444444444;8212.94779969136;160.0;255.0;255.0;155.5
Car;375.39;183.56;500.35;293.98;12.74;002515.txt;128.41734545454545;8717.166804589755;157.0;255.0;255.0;133.25
Car;453.71;184.16;532.47;247.8;20.21;002515.txt;136.47096644565;8121.40889183271;157.0;255.0;255.0;143.25
Car;310.24;179.53;487.55;326.43;9.95;005223.txt;123.44515546331527;8940.404934349748;155.0;255.0;255.0;139.5
Car;438.81;182.62;532.43;257.3;17.44;005223.txt;132.53716312056739;8458.498760746445;156.0;255.0;255.0;150.0
Car;0.0;210.35;370.69;374.0;6.41;000136.txt;108.89164057350033;9839.556522077797;117.5;255.0;255.0;178.25
Car;646.14;165.53;700.16;204.94;34.87;000136.txt;160.4045584045584;5471.16539232636;166.0;255.0;210.0;151.75
Car;364.88;195.67;436.25;239.33;30.76;000136.txt;145.96291035353536;7041.956957691458;157.0;255.0;255.0;131.5
Car;939.33;163.09;1129.18;222.88;19.02;000136.txt;116.17912578055308;9553.662516987746;129.0;255.0;255.0;179.0
Car;863.55;164.04;1030.47;214.25;22.3;000136.txt;131.24979041916168;8652.271467021945;140.0;255.0;255.0;173.75
Car;689.44;163.46;724.52;190.31;45.27;000136.txt;173.12354497354497;5709.323096427873;199.0;255.0;219.0;155.5
Car;511.6;157.39;746.62;251.5;12.3;006750.txt;155.49075373472158;6430.498714868734;157.0;255.0;239.0;155.5
Car;196.77;146.21;472.07;251.61;11.47;006750.txt;148.3062629399586;6988.163621921201;157.0;255.0;251.0;133.75
Car;0.0;149.16;86.36;257.35;10.14;006750.txt;142.96266688199827;7564.171275273615;157.0;255.0;255.0;126.25
Car;348.02;181.41;494.37;306.97;11.36;004356.txt;126.70827397260274;8780.65399181535;157.0;255.0;255.0;136.0
Car;446.87;183.44;532.45;252.16;18.82;004356.txt;135.26074317492416;8214.356473731477;157.0;255.0;255.0;145.75
Car;411.68;193.66;453.77;233.86;32.82;000905.txt;161.9828869047619;5762.572474999114;182.0;255.0;222.0;155.5
Car;169.31;195.92;436.36;357.32;8.89;006509.txt;114.03271373745781;9444.654372082618;138.0;255.0;255.0;164.75
Car;478.77;170.49;541.21;224.46;24.89;006509.txt;145.56694591416814;7237.645283088785;157.0;255.0;248.0;143.5
Car;527.75;172.12;564.16;204.43;35.59;006509.txt;157.38471283783784;5782.477840626998;157.0;255.0;246.0;150.25
Car;559.45;168.56;597.02;191.93;50.36;006509.txt;176.6149885583524;6098.0405533751555;209.0;255.0;222.0;155.5
